'Flight phase','Flight type','Crash site','Crew on board','Pax on board','Total fatalities','Crash cause'
Flight,'Fire fighting',Mountains,2,0,0-10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Plain, Valley',0,0,0-10,Unknown
'Landing (descent or approach)',Executive/Corporate/Business,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
'Takeoff (climb)',Private,'Airport (less than 10 km from airport)',1,6,0-10,Unknown
'Takeoff (climb)','Scheduled Revenue Flight','Lake, Sea, Ocean, River',1,8,0-10,Weather
'Takeoff (climb)',Military,'Plain, Valley',7,0,0-10,'Technical failure'
'Landing (descent or approach)',Private,'Plain, Valley',1,1,0-10,Weather
'Landing (descent or approach)',Ferry,Mountains,4,4,0-10,'Human factor'
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,2,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',15,300,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Plain, Valley',6,3,0-10,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',0,0,0-10,Unknown
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',2,0,0-10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Lake, Sea, Ocean, River',1,4,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',1,4,0-10,'Human factor'
